split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_reg_all
0.9926115585299753,0.9901309499866663,0.9916264353416876,0.9914563146194432,0.0010198236714867779,7,52.295889695485435,1.181963794651988,3.9238386154174805,0.11283314820315635,"{'lr_all': 0.001, 'reg_all': 0.4}",0.001,0.4
0.9972534260591014,0.9945708526858121,0.9961476533308318,0.9959906440252485,0.0011007691000083969,8,52.132280111312866,1.096979850071335,4.070330301920573,0.20996148879823118,"{'lr_all': 0.001, 'reg_all': 0.6}",0.001,0.6
0.9836808089877811,0.9803126995519076,0.9816854711702895,0.9818929932366594,0.001382832684269955,5,52.076435009638466,1.0193554564321015,3.6533850034077964,0.35575299449300857,"{'lr_all': 0.0025, 'reg_all': 0.4}",0.0025,0.4
0.9888675107322169,0.9852652841769671,0.9867841904867819,0.9869723284653219,0.00147660781592214,6,52.229995012283325,1.0245254920073616,4.048571030298869,0.2912073233023263,"{'lr_all': 0.0025, 'reg_all': 0.6}",0.0025,0.6
0.9782014723463983,0.9741004766487101,0.975545711009767,0.9759492200016252,0.0016983631449127813,1,52.887263695398964,0.34351987047257876,4.080918391545613,0.07651284623666284,"{'lr_all': 0.005, 'reg_all': 0.4}",0.005,0.4
0.983760760100241,0.9796030803309086,0.9810759787843887,0.9814799397385129,0.0017212328150527716,3,51.67811862627665,0.8502679530784012,3.60296901067098,0.2519743689333761,"{'lr_all': 0.005, 'reg_all': 0.6}",0.005,0.6
0.9788367823370678,0.9742495128954503,0.9753324702261938,0.9761395884862374,0.001957777676647906,2,52.78001777331034,0.5415934949463251,3.873669226964315,0.6218863258994836,"{'lr_all': 0.01, 'reg_all': 0.4}",0.01,0.4
0.9842872828864623,0.9798653033212601,0.9807373225618479,0.9816299695898567,0.0019124312373217912,4,52.9543350537618,0.25318263296743626,4.080874681472778,0.14001830077446634,"{'lr_all': 0.01, 'reg_all': 0.6}",0.01,0.6
1.0332597423969954,1.0301169347653956,1.0268994955242876,1.030092057562226,0.002596619498100731,10,54.58560824394226,1.4939885249584512,4.540016094843547,0.29969517399806683,"{'lr_all': 0.1, 'reg_all': 0.4}",0.1,0.4
1.029385954834736,1.028689454252837,1.0255155800941314,1.0278636630605682,0.0016845174339850276,9,51.927414337793984,1.1837631990630175,3.8266994953155518,0.4134888582427131,"{'lr_all': 0.1, 'reg_all': 0.6}",0.1,0.6
1.7436951909821172,1.741911890497632,1.7449971475664494,1.7435347430153996,0.0012646502698874836,11,52.12285312016805,0.4943472255589509,3.7753218015034995,0.020662342531377373,"{'lr_all': 0.5, 'reg_all': 0.4}",0.5,0.4
1.7436951909821172,1.741911890497632,1.7449971475664494,1.7435347430153996,0.0012646502698874836,12,50.39536563555399,2.581048915917931,3.8586860497792563,0.13288959369307132,"{'lr_all': 0.5, 'reg_all': 0.6}",0.5,0.6
